lat,lon
-5880814.812,7350.009193
-5880983.666,7276.815829
-5881076.641,7275.428975
-5881185.532,7218.625732
-5881332.897,7091.487351
-5881314.35,6947.200427
-5881335.975,6750.649767
-5881501.148,6736.448472
-5881603.066,6592.753292
-5881698.76,6417.198925
-5881762.27,6229.752043
-5881856.022,6054.140866
-5881919.657,5866.668648
-5881943.291,5875.303398
-5882041.564,6030.996767
-5882065.069,6196.133136
-5882101.843,6390.477609
-5882138.785,6585.697699
-5882178.205,6781.65143
-5882181.924,6978.393221
-5882134.81,7168.899436
-5882201.551,7313.146862
-5882272.064,7370.241696
-5882422.709,7475.880956
-5882571.619,7603.810363
-5882752.286,7572.433039
-5882932.744,7534.697942
-5883079.795,7522.073593
-5883214.133,7667.560518
-5883284.751,7847.059719
-5883403.463,8001.374964
-5883556.716,8124.890453
-5883650.55,8280.596452
-5883583.362,8459.600677
-5883509.52,8645.431731
-5883404.331,8759.998923
-5883594.504,8698.076293
-5883528.815,8855.372368
-5883486.112,9049.447432
-5883452.392,9245.249831
-5883473.699,9433.483096
-5883478.017,9628.727544
-5883427.581,9806.081257
-5883554.438,9945.350772
-5883635.459,10036.51192
-5883498.674,10168.51632
-5883517.619,10312.36577
-5883703.986,10250.55246
-5883883.041,10230.66966
-5883917.288,10384.73496
-5884027.162,10492.28412
-5884183.943,10407.59686
-5884299.322,10253.20654
-5884428.306,10308.08809
-5884607.391,10283.02694
-5884804.007,10254.28096
-5885001.043,10279.78026
-5885199.009,10277.18227
-5885398.76,10271.8425
-5885596.377,10298.23658
-5885775.093,10376.9804
-5885888.638,10539.13798
-5886035.35,10653.72733
-5886198.393,10603.16224
-5886366.542,10654.38343
-5886555.511,10599.83412
-5886681.904,10749.62479
-5886743.378,10938.09524
-5886905.751,11052.21747
-5887068.12,11095.06588
-5887177.234,11102.45688
-5887184.162,10953.13337
-5887289.267,10959.19814
-5887340.482,11040.30536
-5887504.464,11105.36358
-5887434.651,10918.67093
-5887539.343,10769.57738
-5887511.426,10673.07439
-5887393.53,10770.30569
-5887352.403,10640.61104
-5887517.903,10542.18889
-5887373.471,10478.94047
-5887408.608,10403.72154
-5887484.473,10337.93656
-5887464.55,10143.98881
-5887335.24,9991.415618
-5887232.661,9824.341173
-5887097.865,9676.647106
-5886943.135,9551.733417
-5886790.823,9423.146036
-5886885.646,9386.172267
-5887080.784,9366.768927
-5886958.096,9229.206041
-5886804.445,9103.058389
-5886652.807,8972.833942
-5886496.695,8849.151707
-5886367.405,8697.234139
-5886279.37,8517.748644
-5886187.806,8340.007734
-5886085.795,8168.236414
-5886042.746,8042.007359
-5886199.736,8164.760272
-5886351.676,8287.226809
-5886427.6,8470.69285
-5886540.904,8630.48117
-5886683.302,8770.808867
-5886801.775,8930.19373
-5886923.7,9085.206619
-5887071.121,9220.105475
-5887220.185,9176.386194
-5887360.712,9239.756773
-5887345.337,9432.121575
-5887464.659,9532.423361
-5887648.346,9489.348574
-5887837.167,9503.758124
-5887875.173,9339.050673
-5887792.338,9158.641321
-5887693.528,8984.756506
-5887603.932,8806.145106
-5887520.72,8624.277928
-5887460.499,8433.839928
-5887365.19,8262.990807
-5887239.909,8245.758515
-5887183.604,8420.457543
-5886987.882,8454.00888
-5886812.632,8372.664212
-5886652.871,8253.578459
-5886527.223,8105.087112
-5886551.848,7916.684734
-5886657.064,7764.358648
-5886614.491,7570.486937
-5886662.368,7388.557093
-5886768.782,7220.343276
-5886911.952,7108.154983
-5887018.116,7254.574085
-5887182.933,7340.285124
-5887331.892,7424.893485
-5887309.416,7235.313738
-5887275.688,7042.797658
-5887115.33,6923.277173
-5886950.562,6810.380474
-5886841.897,6642.979516
-5886741.572,6469.965584
-5886628.193,6305.726096
-5886528.114,6133.246271
-5886420.118,5970.297873
-5886304.758,5821.952622
-5886463.192,5771.898781
-5886361.693,5609.780477
-5886401.28,5498.700456
-5886495.089,5348.219344
-5886577.673,5451.636784
-5886725.388,5324.58517
-5886763.949,5320.229415
-5886819.171,5459.873813
-5886887.154,5634.425349
-5886982.221,5736.106198
-5887083.856,5891.296104
-5887249.168,6001.200819
-5887384.003,5870.289576
-5887576.682,5899.765141
-5887758.491,5982.840934
-5887879.52,6123.454921
-5887804.65,6287.169198
-5887988.775,6288.987493
-5888098.021,6221.308978
-5888191.38,6210.941333
-5888120.656,6025.080343
-5888003.699,5863.688141
-5887934.273,5676.750497
-5888071.703,5690.54035
-5888219.821,5815.680334
-5888308.254,5991.985112
-5888344.572,6186.259155
-5888495.132,6208.907682
-5888678.504,6228.845882
-5888762.979,6055.208056
-5888872.704,5977.714265
-5888814.569,5786.370536
-5888748.763,5598.197911
-5888677.057,5411.857366
-5888581.431,5236.830825
-5888565.397,5040.661258
-5888571.317,4841.052034
-5888684.383,4677.184054
-5888783.351,4503.802194
-5888834.369,4320.540025
-5888962.402,4182.449597
-5889099.197,4036.783403
-5889168.704,3854.563976
-5889257.048,3678.531764
-5889342.603,3515.75264
-5889393.272,3331.339667
-5889343.293,3137.685047
-5889216.99,2982.806691
-5889100.657,2820.316968
-5888993.364,2656.765654
-5888811.204,2574.196097
-5888627.791,2500.327947
-5888428.394,2493.877917
-5888244.735,2507.057536
-5888045.408,2495.171291
-5887848.192,2468.425537
-5887668.9,2384.643526
-5887516.643,2255.081728
-5887350.62,2146.11838
-5887184.935,2035.444049
-5887032.351,1906.741392
-5886863.776,1799.758794
-5886735.101,1648.858915
-5886624.554,1482.813628
-5886467.836,1362.256564
-5886289.595,1271.611131
-5886118.02,1169.345986
-5885977.597,1028.508098
-5885859.323,867.5882231
-5885899.077,753.8217057
-5886074.896,848.2009542
-5886268.118,895.5556654
-5886463.856,931.2757393
-5886659.06,966.2998095
-5886829.775,1067.489872
-5886976.903,1202.33294
-5887113.454,1348.454913
-5887254.586,1490.135244
-5887402.684,1624.356662
-5887563.858,1742.472919
-5887744.997,1824.351324
-5887921.525,1916.957127
-5888099.415,2006.64407
-5888243.247,2142.976149
-5888365.843,2299.857914
-5888541.763,2378.035565
-5888741.69,2380.495158
-5888937.907,2384.774533
-5889130.856,2389.632673
-5889312.146,2307.298251
-5889499.075,2253.251124
-5889694.382,2290.24786
-5889894.219,2298.196354
-5890093.547,2300.323136
-5890292.565,2318.433243
-5890491.32,2338.384857
-5890662.292,2428.301343
-5890850.321,2478.264412
