 SSTREAM(uvh/supg) 	 time=        4.40000 	 dt=0.2 	 r=1.15623e-16 	 #it= 4 	 CPUsec=1.09503 
 SSTREAM(uvh/supg) 	 time=        4.60000 	 dt=0.2 	 r=5.85816e-16 	 #it= 5 	 CPUsec=1.24883 
 SSTREAM(uvh/supg) 	 time=        4.60000 	 dt=0.2 	 r=5.98891e-16 	 #it= 5 	 CPUsec=1.62362 
 SSTREAM(uvh/supg) 	 time=        4.60000 	 dt=0.2 	 r=5.98895e-16 	 #it= 5 	 CPUsec=2.2487 
 SSTREAM(uvh/supg) 	 time=        4.60000 	 dt=0.2 	 r=5.98895e-16 	 #it= 5 	 CPUsec=1.99543 
 SSTREAM(uvh/supg) 	 time=        4.60000 	 dt=0.2 	 r=5.98891e-16 	 #it= 5 	 CPUsec=1.39611 
 SSTREAM(uvh/supg) 	 time=        4.60000 	 dt=0.2 	 r=5.98891e-16 	 #it= 5 	 CPUsec=1.27189 
 SSTREAM(uvh/supg) 	 time=        4.60000 	 dt=0.2 	 r=5.98891e-16 	 #it= 5 	 CPUsec=1.33073 
 SSTREAM(uvh/supg) 	 time=        4.80000 	 dt=0.2 	 r=3.19117e-17 	 #it= 4 	 CPUsec=0.950666 
 SSTREAM(uvh/supg) 	 time=        4.80000 	 dt=0.2 	 r=3.16241e-17 	 #it= 4 	 CPUsec=0.95166 
 SSTREAM(uvh/supg) 	 time=        4.80000 	 dt=0.2 	 r=3.16241e-17 	 #it= 4 	 CPUsec=0.834766 
 SSTREAM(uvh/supg) 	 time=        4.80000 	 dt=0.2 	 r=3.16241e-17 	 #it= 4 	 CPUsec=0.826867 
 SSTREAM(uvh/supg) 	 time=        4.80000 	 dt=0.2 	 r=3.16241e-17 	 #it= 4 	 CPUsec=0.808163 
 SSTREAM(uvh/supg) 	 time=        4.80000 	 dt=0.2 	 r=3.16241e-17 	 #it= 4 	 CPUsec=1.2618 
 SSTREAM(uvh/supg) 	 time=        4.80000 	 dt=0.2 	 r=3.16241e-17 	 #it= 4 	 CPUsec=0.826377 
 SSTREAM(uvh/supg) 	 time=        5.00000 	 dt=0.2 	 r=5.66516e-18 	 #it= 6 	 CPUsec=1.82506 
