 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=2.36281e-33 	 #it= 1 	 CPUsec=0.0600629 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=1.56773e-33 	 #it= 1 	 CPUsec=0.0754691 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=1.79512e-33 	 #it= 1 	 CPUsec=0.0561828 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=9.43905e-33 	 #it= 1 	 CPUsec=0.0627234 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=1.29808e-32 	 #it= 1 	 CPUsec=0.0630804 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=7.75648e-33 	 #it= 1 	 CPUsec=0.0774946 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=6.2481e-33 	 #it= 1 	 CPUsec=0.0627136 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=8.20373e-33 	 #it= 1 	 CPUsec=0.0626436 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=5.90743e-33 	 #it= 1 	 CPUsec=0.0634205 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=6.46171e-33 	 #it= 1 	 CPUsec=0.0599107 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=6.23571e-33 	 #it= 1 	 CPUsec=0.0582079 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=6.91814e-33 	 #it= 1 	 CPUsec=0.0583408 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=2.87596e-33 	 #it= 1 	 CPUsec=0.089745 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=4.64563e-33 	 #it= 1 	 CPUsec=0.0544148 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=3.58523e-33 	 #it= 1 	 CPUsec=0.0570842 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=3.34624e-33 	 #it= 1 	 CPUsec=0.0603195 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=3.74961e-33 	 #it= 1 	 CPUsec=0.0614418 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=2.02567e-33 	 #it= 1 	 CPUsec=0.0825135 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=1.6167e-33 	 #it= 1 	 CPUsec=0.0804822 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=2.97018e-33 	 #it= 1 	 CPUsec=0.0579722 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=2.71593e-33 	 #it= 1 	 CPUsec=0.0613352 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=2.36281e-33 	 #it= 1 	 CPUsec=0.0575064 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=1.56773e-33 	 #it= 1 	 CPUsec=0.0781626 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=1.79512e-33 	 #it= 1 	 CPUsec=0.0616953 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=3.68435e-34 	 #it= 12 	 CPUsec=0.844676 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=1.29282e-33 	 #it= 9 	 CPUsec=0.665707 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=6.96884e-34 	 #it= 7 	 CPUsec=0.499566 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=6.76821e-34 	 #it= 7 	 CPUsec=0.500707 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=5.88384e-34 	 #it= 33 	 CPUsec=2.26721 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=7.89423e-34 	 #it= 4 	 CPUsec=0.291023 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=9.873e-34 	 #it= 4 	 CPUsec=0.295372 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=5.58219e-34 	 #it= 9 	 CPUsec=0.661589 
 SSTREAM(uvh/supg) 	 time=        0.90000 	 dt=0.1 	 r=6.83859e-34 	 #it= 1 	 CPUsec=0.0853999 
