 SSTREAM(uvh/supg) 	 time=        7.00000 	 dt=1 	 r=4.67072e-17 	 #it= 8 	 CPUsec=6.45538 
 SSTREAM(uvh/supg) 	 time=        8.00000 	 dt=1 	 r=1.30648e-16 	 #it= 6 	 CPUsec=5.17187 
 SSTREAM(uvh/supg) 	 time=        9.00000 	 dt=1 	 r=4.90958e-17 	 #it= 8 	 CPUsec=6.84657 
 SSTREAM(uvh/supg) 	 time=       10.00000 	 dt=1 	 r=2.8457e-17 	 #it= 8 	 CPUsec=6.80163 
 SSTREAM(uvh/supg) 	 time=       11.00000 	 dt=1 	 r=5.77092e-16 	 #it= 9 	 CPUsec=7.4749 
 SSTREAM(uvh/supg) 	 time=       12.00000 	 dt=1 	 r=2.50984e-17 	 #it= 8 	 CPUsec=6.74011 
 SSTREAM(uvh/supg) 	 time=       13.00000 	 dt=1 	 r=3.21456e-16 	 #it= 6 	 CPUsec=5.06748 
 SSTREAM(uvh/supg) 	 time=       14.00000 	 dt=1 	 r=5.29463e-17 	 #it= 8 	 CPUsec=6.59674 
 SSTREAM(uvh/supg) 	 time=       15.00000 	 dt=1 	 r=4.13805e-17 	 #it= 8 	 CPUsec=6.69798 
 SSTREAM(uvh/supg) 	 time=       16.00000 	 dt=1 	 r=3.97538e-17 	 #it= 8 	 CPUsec=6.51687 
 SSTREAM(uvh/supg) 	 time=       17.00000 	 dt=1 	 r=1.10426e-17 	 #it= 8 	 CPUsec=6.68845 
 SSTREAM(uvh/supg) 	 time=       18.00000 	 dt=1 	 r=2.09268e-16 	 #it= 8 	 CPUsec=6.71005 
 SSTREAM(uvh/supg) 	 time=       19.00000 	 dt=1 	 r=3.96336e-16 	 #it= 6 	 CPUsec=5.42225 
 SSTREAM(uvh/supg) 	 time=       20.00000 	 dt=1 	 r=2.08351e-16 	 #it= 7 	 CPUsec=5.79548 
 SSTREAM(uvh/supg) 	 time=       21.00000 	 dt=1 	 r=6.66148e-16 	 #it= 6 	 CPUsec=5.43881 
 SSTREAM(uvh/supg) 	 time=       22.00000 	 dt=1 	 r=1.84512e-18 	 #it= 8 	 CPUsec=6.53914 
 SSTREAM(uvh/supg) 	 time=       23.00000 	 dt=1 	 r=8.97676e-17 	 #it= 7 	 CPUsec=6.08208 
 SSTREAM(uvh/supg) 	 time=       24.00000 	 dt=1 	 r=5.57371e-17 	 #it= 8 	 CPUsec=6.7806 
 SSTREAM(uvh/supg) 	 time=       25.00000 	 dt=1 	 r=2.47526e-16 	 #it= 8 	 CPUsec=6.89091 
 SSTREAM(uvh/supg) 	 time=       26.00000 	 dt=1 	 r=6.54653e-16 	 #it= 7 	 CPUsec=5.64126 
 SSTREAM(uvh/supg) 	 time=       27.00000 	 dt=1 	 r=1.60309e-16 	 #it= 6 	 CPUsec=5.1611 
 SSTREAM(uvh/supg) 	 time=       28.00000 	 dt=1 	 r=4.9565e-16 	 #it= 6 	 CPUsec=5.06265 
 SSTREAM(uvh/supg) 	 time=       29.00000 	 dt=1 	 r=4.71679e-16 	 #it= 6 	 CPUsec=5.3924 
 SSTREAM(uvh/supg) 	 time=       30.00000 	 dt=1 	 r=3.87233e-17 	 #it= 9 	 CPUsec=7.7148 
 SSTREAM(uvh/supg) 	 time=       31.00000 	 dt=1 	 r=1.34998e-16 	 #it= 6 	 CPUsec=5.242 
 SSTREAM(uvh/supg) 	 time=       32.00000 	 dt=1 	 r=5.71982e-17 	 #it= 8 	 CPUsec=6.90004 
 SSTREAM(uvh/supg) 	 time=       33.00000 	 dt=1 	 r=2.01027e-16 	 #it= 6 	 CPUsec=5.01099 
 SSTREAM(uvh/supg) 	 time=       34.00000 	 dt=1 	 r=1.60093e-18 	 #it= 8 	 CPUsec=6.79284 
 SSTREAM(uvh/supg) 	 time=       35.00000 	 dt=1 	 r=8.36211e-16 	 #it= 7 	 CPUsec=5.9753 
 SSTREAM(uvh/supg) 	 time=       36.00000 	 dt=1 	 r=4.21288e-17 	 #it= 8 	 CPUsec=6.54329 
 SSTREAM(uvh/supg) 	 time=       37.00000 	 dt=1 	 r=1.12945e-16 	 #it= 8 	 CPUsec=6.53102 
