
                            < M A T L A B (R) >
                  Copyright 1984-2016 The MathWorks, Inc.
                   R2016b (9.1.0.441655) 64-bit (glnxa64)
                             September 7, 2016

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 

	Non-Degree Granting Education License -- for use at non-degree granting, nonprofit,
	educational organizations only.  Not for government, commercial, or other organizational use.

>> >> >> >> >> >> >> >> >>  On input UserVar=1000.000000 

 
 **************************     Úa version: 13 Jan 2017  ********************** 
    Run starts at 21-Feb-2017 18:36:13  
    Experiment: UaOpt-ConjGrad  
    Inverse-modelling restart run.  
 	CtrlVar.Inverse.InvertFor='logAGlenlogC'
	CtrlVar.Inverse.Regularize.Field='logAGlenlogC'
	CtrlVar.Inverse.DataMisfit.GradientCalculation='Adjoint'
   Running on: bslicea.nerc-bas.ac.uk
 ***************************************************************************** 
 
 Inverse run: loading restart file: IR-UaOpt-ConjGrad-UaOptimization-Nod3-I-Adjoint-Cga1k000000-Cgs1000k000000-Aga1k000000-Ags1000k000000-0-0-logAGlenlogC 	  done 
  Setting h(h<50)=50 
  Calling UaOutputs. UaOutputsInfostring=Start of Inverse Run , UaOutputsCounter=1 
 
 ===========   Inverting for model parameters. ================  

 +++++++++++ At start of inversion:  	 J=32.9477 	 I=32.2746 	 R=0.673186  |grad|=0.510561 	 	 gamma=0.364433 
 

   It         J           I          R         |grad|      gamma   #ccUpdate
11221     31.0459     30.3572    0.688688     1.80394     4.30277      4
11222     31.0403     30.3516    0.688682      1.5106   0.0168077      5
11223     31.0307      30.342    0.688684    0.536573  0.00399183      6
11224     31.0299     30.3413    0.688685    0.498496  0.00678611      7
11225      31.029     30.3403    0.688687    0.440976   0.0115364      8
11226     31.0285     30.3398    0.688688    0.393113   0.0102206      9
11227     31.0279     30.3392     0.68869     0.40818    0.015332     10
11228     31.0276     30.3389    0.688692    0.352568  0.00800505     11
11229     31.0264     30.3376    0.688703    0.551995   0.0603152     12
11230     31.0257      30.337    0.688702    0.346445  0.00655662     13
11231     31.0207      30.332    0.688763    0.935365    0.282794      0
11232     31.0183     30.3295    0.688756     0.47205  0.00506569      1
11233     31.0172     30.3284    0.688758    0.406954   0.0158811      0
11234     31.0169     30.3281     0.68876    0.352535  0.00799661      1
11235     31.0161     30.3273    0.688766     0.46841   0.0393993      2
11236     31.0156     30.3269    0.688767    0.343501  0.00590506      3
11237     31.0138      30.325    0.688789    0.663268    0.112581      0
11238     31.0127     30.3239    0.688786    0.337277  0.00703633      1
11239     30.9896     30.3005    0.689084     1.28547      1.5361      2
11240     30.9816     30.2926    0.689026    0.804045   0.0240016      3
11241     30.9779     30.2889    0.689036    0.348155   0.0060004      4
11242     30.9772     30.2882    0.689043    0.420776   0.0420921      0
11243     30.9768     30.2878    0.689043    0.329122   0.0067038      1
11244     30.9734     30.2843    0.689086    0.887052    0.286085      0
11245     30.9713     30.2822    0.689083    0.434648  0.00518819      1
11246     30.9706     30.2815    0.689085    0.354218   0.0139305      0
11247     30.9704     30.2813    0.689087    0.352669   0.0118785      1
11248     30.9701      30.281    0.689089    0.350979   0.0146272      2
11249     30.9698     30.2807     0.68909    0.351596   0.0130846      3
11250     30.9696     30.2805    0.689092    0.345613   0.0134869      4
11251     30.9693     30.2802    0.689094    0.358063    0.014807      5
11252     30.9691       30.28    0.689095    0.339287   0.0116774      6
11253     30.9688     30.2797    0.689097    0.366809   0.0177953      7
11254     30.9685     30.2794    0.689099    0.330014  0.00915415      8
11255     30.9677     30.2786    0.689108      0.5128    0.065173      9
11256     30.9671      30.278    0.689108    0.329028  0.00699735     10
11257     30.9524     30.2631    0.689302     1.83132     1.25877      0
11258      30.943     30.2537    0.689279    0.673729  0.00491709      1
11259     30.9412     30.2519    0.689281    0.333369   0.0096148      0
11260     30.9408     30.2515    0.689285    0.403193   0.0294471      1
11261     30.9405     30.2512    0.689285    0.329456  0.00615504      2
11262     30.9388     30.2495    0.689305    0.669965    0.134401      0
11263     30.9379     30.2486    0.689302    0.336823  0.00840006      1
11264     30.9376     30.2482    0.689304    0.366202   0.0128817      2
11265     30.9374     30.2481    0.689305     0.32833  0.00678934      3
11266     30.8693     30.1792    0.690164     3.78485     5.79108      0
11267     30.8379     30.1479     0.68998     1.09938  0.00957577      1
11268     30.8295     30.1395    0.690021    0.893897  0.00649035      2
11269     30.8286     30.1386     0.69001    0.456794  0.00154146      3
11270     30.8273     30.1373    0.690014    0.393338   0.0229148      0
11271      30.827      30.137    0.690015    0.352537   0.0106263      1
11272     30.8267     30.1367    0.690017     0.35073   0.0124719      2
11273     30.8265     30.1364    0.690018     0.35624   0.0136859      3
11274     30.8262     30.1362     0.69002    0.344346    0.012579      4
11275     30.8259     30.1359    0.690022    0.366406   0.0164006      5
11276     30.8257     30.1357    0.690023    0.330725   0.0085269      6
11277     30.8244     30.1344    0.690036     0.61303    0.104688      7
11278     30.8235     30.1335    0.690035    0.335819  0.00654298      8
11279     30.8223     30.1323    0.690048    0.567445   0.0932817      0
