
                            < M A T L A B (R) >
                  Copyright 1984-2016 The MathWorks, Inc.
                   R2016b (9.1.0.441655) 64-bit (glnxa64)
                             September 7, 2016

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 

	Non-Degree Granting Education License -- for use at non-degree granting, nonprofit,
	educational organizations only.  Not for government, commercial, or other organizational use.

>> >> >> >> >> >> >> >> >>  On input UserVar=1.000000 

 
 **************************     Úa version: 13 Jan 2017  ********************** 
    Run starts at 01-Mar-2017 15:06:50  
    Experiment: UaOpt-ConjGrad  
    Inverse-modelling restart run.  
 	CtrlVar.Inverse.InvertFor='logAGlenlogC'
	CtrlVar.Inverse.Regularize.Field='logAGlenlogC'
	CtrlVar.Inverse.DataMisfit.GradientCalculation='Adjoint'
   Running on: bslicea.nerc-bas.ac.uk
 ***************************************************************************** 
 
 Inverse run: loading restart file: IR-UaOpt-ConjGrad-UaOptimization-Nod3-I-Adjoint-Cga1k000000-Cgs1k000000-Aga1k000000-Ags1k000000-0-0-logAGlenlogC 	  done 
  Setting h(h<50)=50 
  Calling UaOutputs. UaOutputsInfostring=Start of Inverse Run , UaOutputsCounter=1 
 
 ===========   Inverting for model parameters. ================  

 +++++++++++ At start of inversion:  	 J=32.5913 	 I=31.9321 	 R=0.659139  |grad|=0.455944 	 	 gamma=0.00449344 
 

   It         J           I          R         |grad|      gamma   #ccUpdate
 7376     32.3743     31.7141    0.660202    0.449884   0.0458324      6
 7377     32.3739     31.7137    0.660202      0.3213   0.0061725      7
 7378     32.3729     31.7127    0.660217     0.53434   0.0964453      0
 7379     32.3722     31.7119    0.660215    0.317442   0.0068015      1
 7380     32.3708     31.7105    0.660234    0.620995    0.130753      0
 7381     32.3699     31.7097    0.660232    0.319168  0.00817205      1
 7382     32.3695     31.7093    0.660237     0.40352   0.0277012      2
 7383     32.3693      31.709    0.660237    0.322237  0.00552157      3
 7384     32.3684     31.7081    0.660249    0.498905   0.0795721      0
 7385     32.3678     31.7075    0.660248    0.316214  0.00721398      1
 7386     32.3553     31.6948    0.660432     1.71239     1.26289      0
 7387     32.3471     31.6867    0.660412    0.667749  0.00493317      1
 7388     32.3455      31.685    0.660414    0.316922  0.00956754      0
 7389     32.3447     31.6843    0.660424     0.50442   0.0735294      1
 7390     32.3441     31.6837    0.660424    0.317025  0.00718899      2
 7391      32.332     31.6714    0.660603     1.66984     1.22903      0
 7392     32.3241     31.6635    0.660584    0.661436  0.00480089      1
 7393     32.3224     31.6618    0.660586    0.318537  0.00956575      0
 7394      32.322     31.6614    0.660591    0.392993   0.0334203      1
 7395     32.3217     31.6611    0.660591    0.316467  0.00645002      2
 7396     32.3201     31.6595    0.660612    0.623757    0.146133      0
 7397     32.3193     31.6587     0.66061    0.331606  0.00913333      1
 7398      32.319     31.6584    0.660612    0.344412  0.00996915      2
 7399     32.3189     31.6583    0.660612    0.320435  0.00906287      3
 7400     32.3185     31.6578    0.660617    0.394263   0.0328529      4
 7401     32.3182     31.6576    0.660617    0.318906   0.0062966      5
 7402     32.3162     31.6556    0.660645    0.699641    0.190511      0
 7403     32.3158     31.6552    0.660639    0.497679    0.011907      1
 7404      32.315     31.6543    0.660641     0.31989  0.00308689      2
 7405     32.3136      31.653     0.66066    0.595318    0.128719      0
 7406     32.3128     31.6521    0.660658    0.319991  0.00804496      1
 7407     32.3124     31.6517    0.660663    0.392461    0.029163      2
 7408     32.3121     31.6514    0.660663    0.317977  0.00593386      3
 7409     32.3111     31.6504    0.660676    0.545165   0.0930564      0
 7410     32.3104     31.6497    0.660675    0.319884  0.00670864      1
 7411     32.3091     31.6484    0.660694    0.595472    0.128874      0
 7412     32.3082     31.6475    0.660692     0.32005  0.00805461      1
 7413     32.3078     31.6471    0.660697     0.39483    0.029198      2
 7414     32.3075     31.6468    0.660697    0.318089   0.0058852      3
 7415     32.3065     31.6458     0.66071     0.53621   0.0888533      0
 7416     32.3059     31.6452    0.660709    0.318758  0.00682066      1
 7417     32.3039     31.6431    0.660738    0.708465    0.196334      0
 7418     32.3036     31.6428    0.660731    0.526669   0.0122709      1
 7419     32.3026     31.6419    0.660733     0.31972  0.00306772      2
 7420     32.3012     31.6404    0.660754    0.610305    0.137252      0
 7421     32.3003     31.6395    0.660751    0.328173  0.00857823      1
 7422        32.3     31.6393    0.660753    0.344302   0.0118857      2
 7423     32.2998     31.6391    0.660754    0.324811  0.00971692      3
 7424     32.2995     31.6388    0.660758     0.36805   0.0262048      4
 7425     32.2993     31.6385    0.660758     0.34039   0.0117182      5
 7426     32.2991     31.6383     0.66076    0.325061   0.0098004      6
 7427     32.2988     31.6381    0.660762    0.356263   0.0193023      7
 7428     32.2986     31.6379    0.660763    0.319362  0.00974838      8
 7429     32.2982     31.6374    0.660768    0.396343   0.0353379      9
 7430     32.2979     31.6371    0.660768    0.318398  0.00651281     10
 7431     32.2955     31.6347    0.660803     0.76423    0.234115      0
 7432     32.2939     31.6331    0.660799    0.334129  0.00622675      1
 7433     32.2935     31.6327    0.660802    0.363718   0.0217544      0
 7434     32.2933     31.6325    0.660803    0.324855   0.0102738      1
 7435     32.2931     31.6323    0.660805    0.354991    0.017912      2
 7436     32.2929     31.6321    0.660806    0.317878  0.00916362      3
 7437     32.2922     31.6314    0.660814    0.468541   0.0602624      4
 7438     32.2918      31.631    0.660814    0.317038  0.00704976      5
 7439     32.2842     31.6233    0.660926     1.32504    0.766885      0
 7440     32.2831     31.6222    0.660898    0.843205   0.0119826      1
 7441     32.2796     31.6187    0.660905    0.320072  0.00299564      2
 7442     32.2784     31.6174    0.660922    0.577764    0.119628      0
 7443     32.2775     31.6166     0.66092    0.316072  0.00747674      1
 7444     32.2574     31.5962    0.661222     2.15377     2.01389      2
 7445     32.2438     31.5826    0.661187    0.708499  0.00520943      3
 7446     32.2418     31.5806    0.661188    0.318802  0.00947093      0
 7447     32.2414     31.5802    0.661192    0.387104   0.0343321      1
 7448     32.2411     31.5799    0.661193    0.316326  0.00670354      2
 7449      32.239     31.5777    0.661223    0.754184     0.21396      0
 7450     32.2375     31.5763     0.66122    0.328605  0.00657786      1
 7451      32.237     31.5758    0.661226    0.395335    0.037257      0
 7452     32.2367     31.5755    0.661226    0.316434   0.0063994      1
 7453     32.2348     31.5735    0.661253    0.718224    0.190507      0
 7454     32.2344     31.5732    0.661248    0.485352   0.0119067      1
 7455     32.2336     31.5723    0.661249    0.315879  0.00346655      2
 7456     32.2289     31.5676    0.661317     1.06683    0.468417      0
 7457     32.2258     31.5645    0.661307    0.317773  0.00731902      1
